,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
0,1999700045,313000,3,1.5,1340.0,7912,1.5,0,0,3,7,1340.0,0.0,1955,0,98133,47.7658,-122.339
1,1860600135,2384000,5,2.5,3650.0,9050,2.0,0,4,5,10,3370.0,280.0,1921,0,98119,47.6345,-122.367
2,5467900070,342000,3,2.0,1930.0,11947,1.0,0,0,4,8,1930.0,0.0,1966,0,98042,47.3672,-122.15100000000001
3,4040800810,420000,3,2.25,2000.0,8030,1.0,0,0,4,8,1000.0,1000.0,1963,0,98008,47.6188,-122.11399999999999
4,7197300105,550000,4,2.5,1940.0,10500,1.0,0,0,4,7,1140.0,800.0,1976,0,98052,47.683,-122.11399999999999
5,5100401414,490000,2,1.0,880.0,6380,1.0,0,0,3,7,880.0,0.0,1938,1994,98115,47.6924,-122.322
6,7525100520,335000,2,2.0,1350.0,2560,1.0,0,0,3,8,1350.0,0.0,1976,0,98052,47.6344,-122.10700000000001
7,2591720070,482000,4,2.5,2710.0,35868,2.0,0,0,3,9,2710.0,0.0,1989,0,98038,47.375,-122.022
8,1323089184,452500,3,2.5,2430.0,88426,1.0,0,0,4,7,1570.0,860.0,1985,0,98045,47.4828,-121.71799999999999
9,6127600110,640000,4,2.0,1520.0,6200,1.5,0,0,3,7,1520.0,0.0,1945,0,98115,47.678000000000004,-122.26899999999999
10,7739100015,463000,3,1.75,1710.0,7320,1.0,0,0,3,7,1710.0,0.0,1948,0,98155,47.7512,-122.281
11,4217401055,1400000,4,2.5,2920.0,4000,1.5,0,0,5,8,1910.0,1010.0,1909,0,98105,47.6578,-122.28
12,7525000080,588500,3,1.75,2330.0,14892,1.0,0,0,3,8,1970.0,360.0,1980,0,98074,47.6267,-122.046
13,3390600010,365000,3,1.0,1090.0,6435,1.0,0,0,4,7,1090.0,0.0,1955,0,98106,47.5334,-122.365
14,4219400290,1200000,5,2.75,2910.0,9480,1.5,0,0,3,8,2910.0,0.0,1939,0,98105,47.6552,-122.27799999999999
15,2618300080,242500,3,1.5,1200.0,9720,1.0,0,0,4,7,1200.0,0.0,1965,0,98042,47.4225,-122.15299999999999
16,2207200675,419000,3,1.5,1570.0,6700,1.0,0,0,4,7,1570.0,0.0,1956,0,98007,47.6022,-122.134
17,3328500250,285000,4,2.5,2200.0,9397,2.0,0,0,3,8,2200.0,0.0,1987,0,98001,47.3406,-122.26899999999999
18,6600780130,367500,4,3.0,3110.0,7231,2.0,0,0,3,8,3110.0,0.0,1997,0,98092,47.3279,-122.191
19,2011000010,257950,3,1.75,1370.0,5858,1.0,0,0,3,7,1370.0,0.0,1987,0,98198,47.3815,-122.31299999999999
20,776600130,275000,3,1.5,1180.0,10277,1.0,0,0,3,6,1180.0,0.0,1983,0,98045,47.488,-121.787
21,5652600185,750000,3,1.75,2240.0,10578,2.0,0,0,5,8,1550.0,690.0,1923,0,98115,47.6954,-122.292
22,2202500290,435000,4,1.0,1450.0,8800,1.0,0,0,4,7,1450.0,0.0,1954,0,98006,47.5746,-122.135
